id_tweet,user,followers,friends
1111016644380381189,702623146415943681,125,164
1110987826143780865,890320984082976770,767,51
1110981803832209410,624105430,7,55
1110966884608950272,239482002,154,391
1110963674435514369,187978080,60,178
1110940183824945154,300203193,34,70
1110928501589319680,260234767,21996,3499
1110897105411997696,762806365,27,273
1110894738507468800,88354906,14558,6964
1110886170404233217,69675939,591,734
1110884418212847618,2223593406,1297,1255
1110882925808177152,80437052,8608,1788
1110882760074452993,112222741,6731,3047
1110878434287341568,2722275065,950,858
1110874430648012800,128648880,199,146
1110864026483986433,2371975268,19,96
1110704761345589248,1107450653478211584,4,37
1110696138280177669,363224406,285,837
1110693421834997760,68044409,2621,4992
1110674952527773698,1000525556297928704,61,75
1111014392550830080,119916004,166,257
1111006001598291968,1512286153,1667,695
1110978506807263232,46547280,278,164
1110973701250531330,80437052,8608,1788
1110963174524837889,338073984,89,222
1110954452788367361,1419134472,4,28
1110953878118416389,314388971,70,626
1110950407260553217,1110923594777927680,5,26
1110936238763229184,391330489,5728,798
1110933973595770880,38849674,241,883
1110933703709130754,762051223239483392,146,326
1110933588307001345,762051223239483392,146,326
1110933207288070144,38849674,241,883
1110932956502257667,1270729260,59,59
1110931048358121473,2255584429,101393,236
1110927396700647425,57330478,1135,699
1110926957737181185,1601822730,195721,592
1110926236874932224,966492682196606976,490,395
1110925117079601152,70412870,12953,4826
1110922285605629953,2799036623,59,170
1110917575427457024,391330489,5728,798
1110912331674980353,905511835985698817,773,148
1110906941411340288,305154334,49,145
1110903003656138755,869327839627280388,48,93
1110902802832916480,869324866268389376,87,172
1110902646188195840,869306600812662784,122,165
1110902490600488960,869301858082447362,64,127
1110902274660941831,869295807694073856,69,130
1110900549258493953,188037572,17,136
1110898757560877056,1148557610,2003,1283
1110897313474662400,957063269134544897,24,685
1110894115187843074,54626670,403,611
1110891602753540096,82438807,269,793
1110891157716901890,148923110,437,3402
1110890898282463233,393487909,177,670
1110889358754607105,768827263806767104,68,377
1110888969691111425,558081326,2126,754
1110888278209761280,380615538,160,48
1110887865699979264,627115323,377,1127
1110887781629349888,240722655,272,1371
1110887764009144322,956408245,445,678
1110887246746583042,728824423,98,123
1110886162221150208,240722655,272,1371
1110882754303049728,373348187,275,251
1110881713381617666,38849674,241,883
1110881334044622848,1107288686,58,433
1110880465064509440,479986284,303,611
1110878653116792833,3016368460,856,1163
1110878266687143938,1573143744,70,549
1110877809986203648,2924973236,8,48
1110877162058514432,80101459,2181,2444
1110876949382082561,258479650,138,406
1110876140883845126,26612164,198,1938
1110874860983672833,353420974,408,423
1110874408128794624,271650958,1861,406
1110874375580983296,129840355,2655,1334
1110873500640821249,143087542,605,362
1110872623716728832,2250883337,10,47
1110871973423386624,145773448,664,438
1110871751045472256,887548410,30,123
1110871456748134401,337841802,288303,376
1110871037875572736,301785356,2926,1973
1110866303273877505,334206199,181,165
1110684835721420801,2419025351,39,534
1110658005429817351,2255584429,101393,236
1110637829552517121,3086650840,6053,1508
1110610830645702658,857379019,204,265
1110600885724430337,526868488,122,625
1110597098800594944,3350786709,70,117
1110536402159263744,38849674,241,883
1111014059300802570,2308544844,660,639
1110956643876044801,521868788,815,1715
1110828809706573825,50651755,384250,895
1110783588683997185,234446159,932,1013
1110782370897117184,938649778212298752,52,325
1110781486456860677,1080633360148582402,5872,5409
1110780990975180800,50651755,384250,895
1110759470332854272,237067690,1286,4942
1110756614066368512,709675380,224,1660
1110753310011584513,50651755,384250,895
1110581848692981760,175117859,677,1370
1110580547779215361,50651755,384250,895
1110415382869917696,204205366,91,265
1110400726499581952,579331864,312,717
1110293298944593920,524021489,3,63
1110282926330138625,2363152232,1187,1120
1110249634436448256,1281991698,44,911
1110247992588668929,35013719,7994648,2440
1109910125228290048,1270729260,59,59
1109492799026675712,170754439,36,469
1109490919173251072,170754439,36,469
1109489623783391232,170754439,36,469
1109255432097464326,42717060,1001,855
1109119476543430657,301378803,677,558
1109117248025886720,270893426,954,1389
1109087975609171969,1074449589137227778,617,889
1108882700247674881,168202525,314,501
1108852250422710272,971177796902023169,1,46
1108791151786631168,380615538,160,48
1108749013753491462,770848368,10,154
1108609839750615046,206920095,329,1311
1108544849576423425,984524278598197248,3589,52
1108530863569072129,83958703,211,332
1108406716935356422,536387977,638,656
1108399473204568064,331655950,60,317
1108375297165066240,64815682,1614,1736
1108145573813731328,90944527,415,726
1108053686251675648,578502932,276,356
1108052274121752576,773716934273667072,5048,660
1107985773503176704,1099124878479970304,114,411
1107833756046512128,293635194,1128,4815
1107693240084504577,37748192,293422,389
1111023474410225665,627115323,377,1127
1111025987628736512,295794437,42840,343
1111023542739578880,590183479,1395,913
1111015246272126982,399801513,1,77
1111010674828853250,2766813025,48,140
1111009772613103617,105663957,359,384
1111009412968300544,1635629952,244014,192734
1111007983616643078,399501454,136301,1583
1111002182575448065,2339108591,159,502
1111000346376261634,158410346,239,844
1111000079069036544,168069988,1488,1349
1110988993376763905,97940496,143,1144
1110978982793670656,3760763056,178,135
