tweet_from,TweetId
0,1111016644380381189
1110981803832209410,1110987826143780865
0,1110981803832209410
0,1110966884608950272
0,1110963674435514369
0,1110940183824945154
1110882760074452993,1110928501589319680
-1,1110922957944172545
0,1110897105411997696
1110882760074452993,1110894738507468800
1110882760074452993,1110886170404233217
1110882760074452993,1110884418212847618
1110882760074452993,1110882925808177152
0,1110882760074452993
0,1110878434287341568
0,1110874430648012800
0,1110864026483986433
0,1110704761345589248
0,1110696138280177669
0,1110693421834997760
1110379596531359744,1110674952527773698
0,1111014392550830080
1110917575427457024,1111006001598291968
-1,1110986414269886464
0,1110978506807263232
-1,1110977131750850560
1110871037875572736,1110973701250531330
-1,1110963945869840389
0,1110963174524837889
-1,1110955420582072320
1110871037875572736,1110954452788367361
0,1110953878118416389
0,1110950407260553217
0,1110936238763229184
0,1110933973595770880
1110877809986203648,1110933703709130754
1110871037875572736,1110933588307001345
0,1110933207288070144
0,1110932956502257667
1110917575427457024,1110931048358121473
1110926957737181185,1110927396700647425
0,1110926957737181185
0,1110926236874932224
0,1110925117079601152
-1,1110923729507438593
1110871037875572736,1110922285605629953
0,1110917575427457024
1110898757560877056,1110912331674980353
0,1110906941411340288
1110898757560877056,1110903003656138755
1110898757560877056,1110902802832916480
1110898757560877056,1110902646188195840
1110898757560877056,1110902490600488960
1110898757560877056,1110902274660941831
1110888969691111425,1110900549258493953
0,1110898757560877056
0,1110897313474662400
0,1110894115187843074
-1,1110893581848461312
0,1110891602753540096
1110871037875572736,1110891157716901890
1110871037875572736,1110890898282463233
1110871037875572736,1110889358754607105
0,1110888969691111425
-1,1110888731744047104
-1,1110888278209761280
0,1110887865699979264
0,1110887781629349888
1110871037875572736,1110887764009144322
-1,1110887412048244738
1110871037875572736,1110887246746583042
0,1110886162221150208
-1,1110886118965301248
1110871037875572736,1110882754303049728
0,1110881713381617666
1110871037875572736,1110881334044622848
1110871037875572736,1110880465064509440
-1,1110879725956808705
1110871037875572736,1110878653116792833
0,1110878266687143938
0,1110877809986203648
0,1110877162058514432
1110871037875572736,1110876949382082561
1110871037875572736,1110876140883845126
0,1110874860983672833
1110871037875572736,1110874408128794624
1110871037875572736,1110874375580983296
1110871037875572736,1110873500640821249
1110871037875572736,1110872623716728832
1110871037875572736,1110871973423386624
0,1110871751045472256
1110871037875572736,1110871456748134401
0,1110871037875572736
0,1110866303273877505
0,1110684835721420801
0,1110658005429817351
0,1110637829552517121
1110531774306758657,1110610830645702658
0,1110600885724430337
0,1110597098800594944
0,1110536402159263744
0,1111014059300802570
0,1110956643876044801
0,1110828809706573825
1110780990975180800,1110783588683997185
1110780990975180800,1110782370897117184
1110780990975180800,1110781486456860677
0,1110780990975180800
1110753310011584513,1110759470332854272
1110753310011584513,1110756614066368512
0,1110753310011584513
-1,1110598354965274629
1110247992588668929,1110581848692981760
0,1110580547779215361
1110400726499581952,1110415382869917696
0,1110400726499581952
0,1110293298944593920
1110247992588668929,1110282926330138625
-1,1110251986295967744
1110247992588668929,1110249634436448256
0,1110247992588668929
0,1109910125228290048
0,1109492799026675712
0,1109490919173251072
0,1109489623783391232
1108530863569072129,1109255432097464326
-1,1109220379355238400
-1,1109193427231666183
0,1109119476543430657
0,1109117248025886720
0,1109087975609171969
-1,1108882700247674881
-1,1108855956610387968
-1,1108855816973676544
0,1108852250422710272
-1,1108791151786631168
0,1108749013753491462
0,1108609839750615046
-1,1108558474265456641
1108052274121752576,1108544849576423425
0,1108530863569072129
1108052274121752576,1108406716935356422
0,1108399473204568064
0,1108375297165066240
-1,1108371010955415552
-1,1108182917291917312
0,1108145573813731328
0,1108053686251675648
0,1108052274121752576
0,1107985773503176704
0,1107833756046512128
0,1107693240084504577
0,1111023474410225665
0,1111025987628736512
1110237529838702595,1111023542739578880
-1,1111018907891126273
1110237529838702595,1111015246272126982
1110960526492721152,1111010674828853250
0,1111009772613103617
0,1111009412968300544
0,1111007983616643078
1110237529838702595,1111002182575448065
1110975797400080386,1111000346376261634
